,Parent Category,Category,INDC Sector,INDC technology,Unconditional Target,Technology Needs,More information on INDC technology,TNA / TAP technology prioritised,More information of on TNA / TAP Technology,Actions / project ideas,Country,Valid?
3262,MITIGATION,Agriculutre and forestry,"Agro-forestry, Silviculture & Mixed farming",AGROFORESTRY,0,Agroforestry,0,0,0,0,Timor Leste,1
3263,MITIGATION,Agriculutre and forestry,Sustainable land management*,UNDEFINED,0,Undefined,0,0,0,0,Timor Leste,1
3266,MITIGATION,Agriculutre and forestry,Forest Management,REFORESTATION,0,Reforestation,0,0,0,0,Timor Leste,1
3267,MITIGATION,Agriculutre and forestry,Livestock production,LIVESTOCK FEED OPTIMISATION,0,Livestock feed optimisation,Improve planning and legla framework for promoting sustainable and balanced food for livestock proiduction under increassed climate variabilit and climate change conditions,0,0,0,Timor Leste,1
3268,MITIGATION,Water Resources,Integrated planning,INTEGRATED WATER RESOURCES MANAGEMENT,0,Integrated Water Resources Management,0,0,0,0,Timor Leste,1
3269,MITIGATION,Water Resources,Water efficiency and demand management,PUBLIC WATER CONSERVATION CAMPAIGNS,0,Public water conservation campaigns,0,0,0,0,Timor Leste,1
3270,MITIGATION,Water Resources,Integrated planning,HYDROLOGICAL MODELLING,0,Hydrological modelling,0,0,0,0,Timor Leste,1
3271,MITIGATION,Water Resources,Water treatment,WATER PURIFICATION SYSTEMS,0,Water purification systems,Water pollution control standards,0,0,0,Timor Leste,1
3272,MITIGATION,Water Resources,Water augmentation (increasing capture and storage of surface runoff),WATERSHED CONSERVATION,0,Watershed conservation,0,0,0,0,Timor Leste,1
3273,MITIGATION,Infrastructure and Urban Planning,Building codes,BUILDING CODES,0,Building codes,0,0,0,0,Timor Leste,1
3274,MITIGATION,Infrastructure and Urban Planning,Building design and material,DISASTER-RESILIENT BUILDINGS,0,Disaster-resilient buildings,"Better quality of materials, codes, practices and law enforcement",0,0,0,Timor Leste,1
3275,MITIGATION,Early Warning and Environmental Assessment,Early warning systems & forecasting,FLOOD FORECASTING SYSTEMS,0,Flood forecasting systems,0,0,0,0,Timor Leste,1
3276,MITIGATION,Early Warning and Environmental Assessment,Early warning systems & forecasting,COMMUNITY-RUN EARLY WARNING SYSTEMS,0,Community-run early warning systems,0,0,0,0,Timor Leste,1
3277,MITIGATION,Early Warning and Environmental Assessment,Early warning systems & forecasting,DROUGHT FORECASTING SYSTEMS,0,Drought forecasting systems,0,0,0,0,Timor Leste,1
3282,MITIGATION,"Forests, Biodiversity and Coastal zones",Protection (hard engineering),SEA WALLS,0,Sea walls,0,0,0,0,Timor Leste,1
3286,MITIGATION,Capacity Building,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,0,Capacity Building and Training,Workshops and data collection,0,0,0,Timor Leste,1
3287,MITIGATION,Capacity Building,Governance and Planning,UNDEFINED,0,Undefined,Climate startegy action and plan,0,0,0,Timor Leste,1
3296,MITIGATION,Industry,Conventional power plant efficiency,SINGLE CYCLE TO COMBINED CYCLE POWER GENERATION,(only one technology mentioned),0,0,0,0,0,Trinidad and Tobago,1
3352,MITIGATION,Renewable Energy,Solar,CONCENTRATED SOLAR POWER,0,Generating 70% of electricity from renewable sources requires considerable expansion of generation capacity from solar and wind as well as a substantial increase in battery storage and upgrading of the existing network infrastructure.,0,0,0,0,Tonga ,1
3353,MITIGATION,Renewable Energy,Wind,ON-SHORE WIND,0,0,0,0,0,0,Tonga ,1
3354,MITIGATION,Transport,Land transport,MORE EFFICIENT LIGHT DUTY VEHICLES,0,achieving a 2% efficiency gain per year for newly purchased light duty vehicles either requires establishing mandatory vehicle standards and/or incentives,0,0,0,0,Tonga ,1
3355,MITIGATION,Waste management,Solid waste,INTEGRATED SOLID WASTE MANAGEMENT,0,0,0,0,0,0,Tonga ,1
3356,MITIGATION,Forestry,Forest management for mitigation,FOREST PLANTATION,0,"Technical expertise
Financial support
Consensus on the kind of
trees to be planted, the
land on which the trees are
to be planted, and
responsibility for planting
the trees",Planting of one million trees by 2023,0,0,"30% of land in
Tonga utilized for
agro-forestry or
forestry by 2025",Tonga ,1
3357,ADAPTATION,Agriculture and Forestry,Forest management for adaptation,FOREST INVENTORY,0,0,0,0,0,0,Tonga ,1
3358,ADAPTATION,Infrastructure and Urban Planning,Grid resiliency,GRID RESILIENCY,0,"limiting growth in grid-connected residential electricity end-use to 1% per year on average for the period 2021-2030 may be achieved by adopting minimum energy performance standards for appliances, lighting, and electrical equipment.",0,0,0,0,Tonga ,1
3359,MITIGATION,Energy efficiency,Appliances and equipment,EFFICIENT APPLIANCES,"Energy Efficiency Act (2015) will allow government to control imports, sale, and use of inefficient appliances.",0,0,0,0,Implementation of Minimum Energy and Performance Standards and Labelling (MESPL).,Tuvalu,1
3360,MITIGATION,Energy efficiency,Appliances and equipment,COMMUNITY-BASED ENERGY SERVICES,Increase energy efficiency on Funafuti island by 30% by 2020.,0,"Public education, energy audits, technology improvements to promote energy efficiency",0,0,"Outlined in Tuvalu's Master Plan for Renewable Energy and Energy Efficiency (TMPREEE), 2012-­‐2020.
 '1000 Solar Roof Program'",Tuvalu,1
3361,MITIGATION,Energy efficiency,Energy storage,BATTERIES,Battery storage will be used to support solar PV systems.,0,Solar+Storage will be deployed at Funafuti,0,0,0,Tuvalu,1
3362,MITIGATION,Renewable energy,Bioenergy,BIODIESEL,0,"Use biodiesel for backup generators to PV+battery systems, depends on coconut industry",0,0,0,0,Tuvalu,1
3363,MITIGATION,Renewable energy,Solar,SOLAR PV,Build solar PV worth 6 MW by 2020.,0,"Due to limited area, rooftop PV is preferred on Fogafale (main island).",0,0,"Outlined in Tuvalu's Master Plan for Renewable Energy and Energy Efficiency (TMPREEE), 2012-­‐2020.
 '1000 Solar Roof Program'",Tuvalu,1
3364,MITIGATION,Renewable energy,Wind,SMALL-SCALE WIND,Small-scale wind turbines (total 200 kW) are to be installed via World Bank project proposal.,0,Wind and solar will help optimize the storage performance.,0,0,0,Tuvalu,1
3366,ADAPTATION,Infrastructure and Urban planning,Grid resiliency,GRID RESILIENCY,Improved grid resiliency through major investments in the grid.,0,Proposed World Bank Project will finance this activity.,0,0,0,Tuvalu,1
3367,MITIGATION,Agriculture,Livestock management,PASTURE MANAGEMENT,30% of costs incurred to deploy this technology,Technology/financial needs,0,0,0,0,Uganda,1
3368,MITIGATION,Agriculture,Wetland management,WETLAND MANAGEMENT,30% of costs incurred to deploy this technology,Increase wetland coverage to 12% by 2030 from 10.9% in 2014.,0,0,0,0,Uganda,1
3369,MITIGATION,Energy Efficiency,Appliances and equipment,IMPROVED COOK STOVES,30% of costs incurred to deploy this technology,Promoting the use of more efficient cook stoves.,0,2 in Energy Sector,Reduce the use of firewood in running institutional cook stoves.,"Induction cookers. Schools, refugee camps etc. utilize institutional cook stoves and will benefit.",Uganda,1
3370,MITIGATION,Energy Efficiency,Buildings,RETROFITTING OF EXISTING BUILDINGS,30% of costs incurred to deploy this technology,Improving energy efficiency in public buildings.,0,0,0,Improving energy efficiency in hospitals.,Uganda,1
3371,MITIGATION,Forestry,Forest management for mitigation,REFORESTATION,30% of costs incurred to deploy this technology,"Yes, including in urban areas.",0,6 in Forest Sector,Utilizing techniques such as Enrichment planting,As done in Northern Uganda,Uganda,1
3372,MITIGATION,Forestry,Forest management for mitigation,PREVENTION OF FOREST FIRES,0,0,0,0,0,0,Uganda,1
3373,MITIGATION,Forestry,Forest management for mitigation,FOREST PROTECTION AND CONSERVATION,30% of costs incurred to deploy this technology,"Reverese deforestation trend and increase forest cover to 21% by 2030, up from 14% in 2013.",0,0,0,0,Uganda,1
3374,MITIGATION,Forestry,Forest management for mitigation,FOREST GOVERNANCE,30% of costs incurred to deploy this technology,"Community forest management, forest law enforcement, strenthening forest institutions.",0,10 in Forest Sector,Using drones for forest management and effective monitoring.,0,Uganda,1
3375,MITIGATION,Forestry,Forest management for mitigation,ASSISTED NATURAL REGENERATION,0,0,0,1 in Forest Sector,Farmer Managed Natural Regeneration: regeneration of degraded forest landscapes using living tree stumps.,As piloted in Northern Uganda.,Uganda,1
3376,MITIGATION,Forestry,Forest management for mitigation,AFFORESTATION,30% of costs incurred to deploy this technology,"Yes, including in urban areas.",0,0,0,0,Uganda,1
3377,MITIGATION,Industry,Manufacturing industry,WOOD PRODUCTS,0,0,0,"5 in Forest Sector
 11 in Forest Sector","Promoting bamboo-based value chains as replacement for wood products.
 Improving timber harvesting techniques to ensure resilience of timber industry.",Providing portable saw mills to smallholders so they can harvest timber.,Uganda,1
3378,MITIGATION,Renewable Energy,Bioenergy,ETHANOL FUEL,0,0,0,4 in Energy Sector,Blend ethanol with gasoline,Produce ethanol from sugar factories (Kakira) and blend with Petrol.,Uganda,1
3379,MITIGATION,Renewable Energy,Bioenergy,BIOMASS POWER,30% of costs incurred to deploy this technology,Improving efficiency of biomass energy production and utilization.,0,0,0,0,Uganda,1
3380,MITIGATION,Renewable Energy,Bioenergy,BIOMASS BRIQUETTES OR PELLETS,0,0,0,5 in Energy Sector,Non-carbonized briquette pellets,Pellets can be used as fuel for biomass based cook stoves.,Uganda,1
3381,MITIGATION,Renewable Energy,Bioenergy,BIOGAS POWER,0,0,0,3 in Energy Sector,"Using biogas technology as fuel for cooking, heating, lighting.","Can be used in schools, and has many co-benefits.",Uganda,1
3382,MITIGATION,Renewable Energy,Bioenergy,BIODIESEL,0,0,0,8 in Energy Sector,Biodiesel production for transport sector (blending),Extract biodiesel from oil seed crops that are already growing for oil extraction or are growing in the wild.,Uganda,1
3383,MITIGATION,Renewable Energy,Renewable energy infrastructure,OFF-GRID SYSTEMS,0,0,0,7 in Energy Sector,Off-grid mini solar systems with batteries.,Up to 100 kW capacity. Many co-benefits.,Uganda,1
3384,MITIGATION,Renewable Energy,Renewable energy infrastructure,GRID INTEGRATION FOR RENEWABLES *,30% of costs incurred to deploy this technology,Increase renewable energy capacity to at least 3200 MW by 2030 from 729 MW in 2013.,0,0,0,0,Uganda,1
3385,MITIGATION,Renewable Energy,Solar,SOLAR PV,30% of costs incurred to deploy this technology,Promoting wider uptake of solar PV systems.,0,1 in Energy Sector,Rooftop solar systems for customers who are remote or have unreliable connection to grid.,Suitable for customers in rural areas and has many health and monetary benefits.,Uganda,1
3386,MITIGATION,Waste Management,Solid waste,GASIFICATION OF WASTE,0,0,0,6 in Energy Sector,Gasification of waste biomass and agriculture residue to drive gasification.,Use gasification output for electricity generation and clean cooking.,Uganda,1
3387,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",GENERAL AGRO-FORESTRY - SILVICULTURE AND MIXED FARMING SOLUTIONS,30% of costs incurred to deploy this technology,Technology/financial needs,0,4 in Forestery Sector,Integrated forestry-crop-livestock systems.,0,Uganda,1
3388,ADAPTATION,Agriculture and Forestry,Forest management for adaptation,FOREST INVENTORY,0,0,0,"7 in Forestry Sector
 8 in Forestry Sector","Quickly grow the tree seedling bank of Uganda.
 Using biotechnology to produce hybrid trees suitable for Uganda's changing climate.","Increasing the number of tree seedlings at hand using tissue culture, as done for banana and coffee seedlings.",Uganda,1
3389,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,PRECISION AGRICULTURE,0,0,0,12 in Agriculture Sector,Precision farming to help farmers learn about crop inputs and prevent wastage of these inputs.,An app can be developed to share information and let farmers connect (such as WeFarm).,Uganda,1
3390,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,PEST AND INSECT CONTROL,0,0,0,"5 in Agriculture Sector
 2 in Forest Sector",Prevent diseases from pests and minimuze impact of pesticides on humans.,0,Uganda,1
3391,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,E-AGRICULTURE *,0,0,0,4 in Agriculture Sector,An app that provides farmers soil and water conservation techniques to allow farmers to make best decisions.,"App can be simple, mobile phone based that also generates information based on location of farmers (such as Ezy-Agric App).",Uganda,1
3392,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,CROP DIVERSIFICATION AND NEW VARIETIES,30% of costs incurred to deploy this technology,Expand research on climate resilience of crops.,0,3 in Agriculture Sector,Use biotechnology to create crop varieties that have desirable traits against climate change.,0,Uganda,1
3393,ADAPTATION,Agriculture and Forestry,Land management training,COMMUNITY-BASED AGRICULTURAL EXTENSION,30% of costs incurred to deploy this technology,Technology/financial needs,0,1 in Agriculture Sector,Use a platform to collaborate with farmers and businesses to transfer technology to farmers.,Platform can be mobile app.,Uganda,1
3394,ADAPTATION,Agriculture and Forestry,Livestock management,SELECTIVE BREEDING VIA CONTROLLED MATING,30% of costs incurred to deploy this technology,Livestock diversification against climate change.,0,6 in Agriculture Sector,"Livestock breeding to ensure climate resilience, disease control and proper reproduction of livestock.",0,Uganda,1
3395,ADAPTATION,Agriculture and Forestry,"Seed, grain & food storage",CROP STORAGE,30% of costs incurred to deploy this technology,Post harvest handling and storage support for farmers.,0,8 in Agriculture Sector,Offer support in storing and shipping crops to minimize losses due to external factors and pests.,Storing grains in airtight silos.,Uganda,1
3396,ADAPTATION,Agriculture and Forestry,Terrestrial ecosystems management,FOREST FIRE CONTROL,0,0,0,9 in Forest Sector,Integrated wildfire management,0,Uganda,1
3397,ADAPTATION,Early warning and environmental assessment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,30% of costs incurred to deploy this technology,Determining vulnerability risk mapping based on improved data on climate change and its impacts.,0,0,0,0,Uganda,1
3398,ADAPTATION,Early warning and environmental assessment,Monitoring systems,CLIMATE CHANGE MONITORING,30% of costs incurred to deploy this technology,A system to monitor climate information and give early warnings as necessary.,0,0,0,0,Uganda,1
3399,ADAPTATION,Human Health,Advanced IT systems in the health sector,DISEASE SURVEILLANCE SYSTEMS,30% of costs incurred to deploy this technology,Improving existing disease outbreak systems.,0,0,0,0,Uganda,1
3400,ADAPTATION,Infrastructure and Urban Planning,Building design and material,GREEN STANDARDS,30% of costs incurred to deploy this technology,Ensuring that building codes and land use is climate-resilient.,0,0,0,0,Uganda,1
3401,ADAPTATION,Infrastructure and Urban Planning,Building design and material,DISASTER-RESILIENT BUILDINGS,30% of costs incurred to deploy this technology,Investing to transform existing building stock to become more climate resilient.,0,0,0,0,Uganda,1
3402,ADAPTATION,Infrastructure and Urban Planning,Resilient transport systems,RESILIENT ROAD SYSTEMS,30% of costs incurred to deploy this technology,Upgrading transport codes and enforcing existing regulations for compliance.,0,0,0,0,Uganda,1
3403,ADAPTATION,Marines and Fisheries,Fisheries management,SUSTAINABLE FISHING,0,0,0,7 in Agriculture Sector,Build up fish stocks to ensure diversity in the fish is maintained.,Culture based farming (CBF),Uganda,1
3404,ADAPTATION,Water,Integrated planning,INTEGRATED WATER RESOURCES MANAGEMENT,30% of costs incurred to deploy this technology,Improving water effiency and ensuring proper supply to key sectors while preventing water borne diseases. Managing wetlands to prevent floods. Ensuring careful use of water for hydropower.,0,0,0,Establishment of an Integrated Water Resource Management system.,Uganda,1
3405,ADAPTATION,Water,Integrated planning,GROUNDWATER EXTRACTION AND MONITORING,0,0,0,1 in Water Sector,High market potential in rural areas and areas that constantly flood.,Deep well water extraction.,Uganda,1
3406,ADAPTATION,Water,Urban storm water management,CANALS AND DRAINAGE SYSTEMS,30% of costs incurred to deploy this technology,Planning improved drainage systems.,0,0,0,0,Uganda,1
3407,ADAPTATION,Water,Water allocation,WATER REALLOCATION,0,0,0,4 in Water Sector,Bulk transfer of water from places of plenty to places of scarcity for use at times of need.,Building channels for the bulk transfer of water.,Uganda,1
3408,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),WATERSHED CONSERVATION,30% of costs incurred to deploy this technology,Part of effort to increase biodiversity under forest sector.,0,0,0,Re-establishing wildlife corridors.,Uganda,1
3409,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING EX SITU,0,0,0,3 in Water Sector,"Collect, accumulate, treat, and store storm water for later domestic use.",Surface runoff water harvesting,Uganda,1
3410,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING,0,0,0,2 in Water Sector,"A simple system that consists of a roof, a tank, and means of channeling water to the tank.",Rooftop rainwater harvesting,Uganda,1
3411,ADAPTATION,Water,Water efficiency and demand management,MULTI-PURPOSE DAMS,0,0,0,7 in Water Sector,Construct new dams and maintain existing dams.,"High valley dams, multipurpose dams.",Uganda,1
3412,ADAPTATION,Water,Water efficiency and demand management,IMPROVED IRRIGATION EFFICIENCY,0,0,0,"5 in Water Sector
 2 in Agriculture Sector","Create community irrigation system where community takes care of operations, maintenance and water distribution.",0,Uganda,1
3413,ADAPTATION,Water,Water treatment,WATER PURIFICATION SYSTEMS,0,0,0,6 in Water Sector,Home water treatment and safe storage (HWTS) to allow on-site water consumption.,0,Uganda,1
3414,CROSS-SECTORAL ENABLERS,Cross-sectoral Enablers and Approaches,Ecosystems and Biodiversity,PAYMENT FOR ECOSYSTEM SERVICES,0,0,0,3 in Forestry Sector,Promoting forest based small businesses for preserve forests while creating economic growth.,"Bee keeping, butterfly farming, ecotourism, fruit trees.",Uganda,1
3415,CROSS-SECTORAL ENABLERS,Cross-sectoral Enablers and Approaches,Community based,COMMUNITY BASED,30% of costs incurred to deploy this technology,String public awareness program to promote hygene.,0,0,0,0,Uganda,1
3416,CROSS-SECTORAL ENABLERS,Cross-sectoral Enablers and Approaches,Economics and financial decisionmaking,MICROFINANCE,30% of costs incurred to deploy this technology,"Providing microfinances to allow access to markets, post harvest handling and storage of crops.",0,0,0,0,Uganda,1
3417,CROSS-SECTORAL ENABLERS,Cross-sectoral Enablers and Approaches,Economics and financial decisionmaking,DISASTER CONTINGENCY FUNDS,30% of costs incurred to deploy this technology,Establishing a fund to take care of emergency needs following extreme climate event.,0,0,0,0,Uganda,1
3418,CROSS-SECTORAL ENABLERS,Cross-sectoral Enablers and Approaches,Economics and financial decisionmaking,CLIMATE INSURANCE *,0,0,0,10 in Agriculture Sector,Allow farmers to purchase insurance to protect against unpredictable events (such as increased intensity of rainfall).,Agriculture Insurance Scheme 2016/17.,Uganda,1
3420,MITIGATION,Industry,Fossil fuel shift,FOSSIL FUELS TO NATURAL GAS,0,"Be implemented, as Tanzania’s incremental contributions beyond our current efforts and upon availability of adequate and predictable financial and technological support from the international community","Expanding the use of natural gas for power production, cooking, transport and thermal services through improvement of natural gas supply systems throughout the country.",6. Insensification of Natural gas use,0,0,United Republic of Tanzania,1
3421,MITIGATION,Energy efficiency,Appliances and equipment,BUILDING EFFICIENCY APPLIANCES,0,0,"Promoting energy efficient technologies for supply, transmission/transportation and demand side as well as behavioral change in energy use",0,0,0,United Republic of Tanzania,1
3422,MITIGATION,Energy Efficiency,Appliances and Equipment,EFFICIENT APPLIANCES,0,0,Promoting use of energy efficient technologies and behaviour,0,0,0,United Republic of Tanzania,1
3423,MITIGATION,Renewable Energy,Hydro,SMALL-SCALE HYDROPOWER,0,0,0,1. Mini and Micro Hydro,0,0,United Republic of Tanzania,1
3424,MITIGATION,Renewable Energy,Bioenergy,SWITCH FROM FOSSIL FUEL TO BIOMASS,0,0,0,2. Sustainable use of biomass fuel,0,0,United Republic of Tanzania,1
3425,MITIGATION,Renewable Energy,Solar,SOLAR PV,0,0,"Promotion of clean technologies for power generation; and diverse renewable sources such as geothermal, wind, solar and renewable biomass
",3. Solar PV,0,0,United Republic of Tanzania,1
3426,MITIGATION,Energy Efficiency,Appliances and equipment,IMPROVED COOK STOVES,0,0,0,4. Efficient and clean fuel / cooking technologies,0,0,United Republic of Tanzania,1
3427,MITIGATION,Renewable Energy,Wind,ON-SHORE WIND,0,0,0,5. Wind energy (electricity / mechanical power),0,0,United Republic of Tanzania,1
3428,MITIGATION,Renewable Energy,Renewable Energy infrastructure,UNDEFINED,0,0,Enhancing efficiency in wood fuel utilization,0,0,0,United Republic of Tanzania,1
3429,MITIGATION,Industry,Fossil Fuel Shift,OIL TO LPG,0,0,0,7. Intensification of LPG use,0,0,United Republic of Tanzania,1
3430,MITIGATION,Renewable Energy,Geothermal,GEOTHERMAL ELECTRICITY,0,0,0,8. Geothermal Power,0,0,United Republic of Tanzania,1
3431,MITIGATION,Renewable Energy,Bioenergy,ENERGY SUPPLY FROM WASTE,0,0,Promotion of waste to energy programmes,9. Waste to Energy,0,0,United Republic of Tanzania,1
3432,MITIGATION,Industry,Conventional power plant efficiency,SINGLE CYCLE TO COMBINED CYCLE POWER GENERATION,0,0,Promoting co-generation activities,0,0,0,United Republic of Tanzania,1
3433,MITIGATION,Forestry,Forest management for mitigation,FOREST GOVERNANCE,0,0,Enhancing and up-scaling implementation of participatory forest management programmes,"1. Sustainable Forest Management, 5. Forest Landscape Restoration, 8. Timber and non timber forest industries technologies",0,0,United Republic of Tanzania,1
3435,MITIGATION,Forestry,0,FOREST PLANTATION,0,0,Strengthening national wide tree planting programmes and initiatives,0,0,0,United Republic of Tanzania,1
3436,MITIGATION,Forestry,0,FOREST PROTECTION AND CONSERVATION,0,0,Strengthening protection and conservation of natural forests to maintain ecological integrity and continued benefiting from service provisions of the sector,0,0,0,United Republic of Tanzania,1
3437,MITIGATION,Forestry,Forest carbon stock measurement,FOREST CARBON STOCK MEASUREMENT,0,0,Enhancement and conservation of forest carbon stocks.,0,0,0,United Republic of Tanzania,1
3438,MITIGATION,Carbon fixation and abatement,Fugitive emission control,CHARCOAL PRODUCTION,0,0,0,6. Sustainable (improved) charcoal production methods,0,0,United Republic of Tanzania,1
3439,MITIGATION,Renewable Energy,Bioenergy,BIOMASS POWER,0,0,0,7. Efficiency biomass energy utilisation,0,0,United Republic of Tanzania,1
3440,MITIGATION,Agriculture ,Cropland,RICE CULTIVATION - INTENSIFICATION SYSTEMS,0,0,0,2. System of Rice Intensification,0,0,United Republic of Tanzania,1
3441,MITIGATION,Waste Management,Wastewater,WASTEWATER MANAGEMENT,0,0,0,0,0,0,United Republic of Tanzania,1
3442,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,CROP INSURANCE *,0,0,"Protecting smallholder farmers against climate related shocks, including through crop insurance",0,0,0,United Republic of Tanzania,1
3443,ADAPTATION,Water,Water efficiency and Demand Management,DRIP IRRIGATION,0,0,0,"3. Drip Irrigation, 7. Lined irrigation",0,0,United Republic of Tanzania,1
3444,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING,0,0,0,4. Rainwater harvesting,0,0,United Republic of Tanzania,1
3445,ADAPTATION,Agriculture and forestry,Increasing crop resilience and productivity,TERRACING,0,0,0,5. Terracing,0,0,United Republic of Tanzania,1
3446,ADAPTATION,Agriculture and forestry,0,CONSERVATION TILLAGE,0,0,0,6. Conservation agriculture,0,0,United Republic of Tanzania,1
3447,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",AGROFORESTRY,0,0,0,2. Agroforestry,0,0,United Republic of Tanzania,1
3448,ADAPTATION,Agriculture and Forestry,Livestock management,PASTURE MANAGEMENT,0,0,Enhancing development of livestock infrastructures and services,0,0,0,United Republic of Tanzania,1
3449,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,CROP DIVERSIFICATION AND NEW VARIETIES,0,0,0,0,0,0,United Republic of Tanzania,1
3450,ADAPTATION,Agriculture and Forestry,Livestock management,LIVESTOCK INSURANCE,0,0,0,0,0,0,United Republic of Tanzania,1
3451,ADAPTATION,Agriculture and Forestry,Terrestial ecosystems management,FOREST FIRE CONTROL,0,0,Enhancing Sustainable forest management,0,0,0,United Republic of Tanzania,1
3452,ADAPTATION,Coastal Zones,Protection (soft engineering),BEACH NOURISHMENT,0,0,"Strengthening management of coastal resources and beach erosion/sea level rise control systems, Promoting livelihood diversification for coastal communities",0,0,0,United Republic of Tanzania,1
3453,ADAPTATION,Coastal Zones,Integrated coastal zone management,COASTAL MONITORING,0,0,Improving monitoring and early warning systems of both sea level rise impacts and extreme weather events for building adaptive capacity.,0,0,0,United Republic of Tanzania,1
3454,ADAPTATION,Coastal Zones,Protection (soft engineering),MANGROVE CONSERVATION AND REHABILITATION,0,0,Mangrove & shoreline restoration programme,3. Mangrove Conservation Rehabilitation and Restoration,0,0,United Republic of Tanzania,1
3455,ADAPTATION,Marine and Fisheries,Fisheries management,SUSTAINABLE FISHING,0,0,"Enhancing conservation & fishery resource management, Strengthening key fisheries management services for sound development and management of the fishery sector for resilience creation.",0,0,0,United Republic of Tanzania,1
3456,ADAPTATION,Water,Integrated planning ,INTEGRATED WATER RESOURCES MANAGEMENT,0,0,0,0,0,0,United Republic of Tanzania,1
3457,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING EX SITU,0,0,0,0,0,0,United Republic of Tanzania,1
3458,ADAPTATION,Water,Integrated planning ,GROUNDWATER EXTRACTION AND MONITORING,0,0,0,0,0,0,United Republic of Tanzania,1
3459,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING,0,0,0,1. Water harvesting from roof top,0,0,United Republic of Tanzania,1
3460,ADAPTATION,Water,Water efficiency and demand management,LEAKAGE MANAGEMENT IN PIPED SYSTEMS,0,0,0,2. Leakage reduction programme,0,0,United Republic of Tanzania,1
3461,ADAPTATION,Water,Alternative water sources,WATER RECYCLING AND RECLAMATION,0,0,0,"3. Water recycling and re use, 7. Household drinking water and safe storage, 8. Borehole drilling ",0,0,United Republic of Tanzania,1
3462,ADAPTATION,Water,Alternative water sources,SEAWATER DESALINATION *,0,0,management of saltwater inundation and intrusion,5. Desalination of water,0,0,United Republic of Tanzania,1
3463,ADAPTATION,Water,Urban storm water management,CANALS AND DRAINAGE SYSTEMS,0,0,0,0,0,0,United Republic of Tanzania,1
3464,ADAPTATION,Water,Water allocation,BASIN LEVEL MODELLING FOR WATER ALLOCATION,0,0,0,0,0,0,United Republic of Tanzania,1
3465,ADAPTATION,Infrastructure and Urban planning,Land use in human settlements,LAND USE IN HUMAN SETTLEMENTS,0,0,Promoting sustainable land management systems and climate sensitive human settlement developments,0,0,0,United Republic of Tanzania,1
3466,ADAPTATION,Cross-sectoral Enablers and Approaches,Communication and Awareness,CLIMATE CHANGE AWARENESS CAMPAIGNS,0,0,Enhancing awareness on the impacts of climate change in the context of human settlements,0,0,0,United Republic of Tanzania,1
3467,ADAPTATION,Infrastructure and Urban Planning,Resilient transport systems,RESILIENT ROAD SYSTEMS,0,0,"Promoting low emission transport systems through deployment of Mass Rapid Transport Systems and investments in air, rail, marine and road infrastructures",0,0,0,United Republic of Tanzania,1
3468,ADAPTATION,Infrastructure and Urban Planning,Urban Planning,RESILIENT SANITATION INFRASTRUCTURE,0,0,Application of modern and practical way of managing waste including the enhanced use of engineered/sanitary landfills,0,0,0,United Republic of Tanzania,1
3469,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,0,0,0,0,0,0,United Republic of Tanzania,1
3470,ADAPTATION,Coss-sectoral Enablers and Approaches,Governance and Planning,NATIONAL ADAPTATION PROGRAMMES OF ACTION,0,0,"Integrating climate change adaptation action into health sector policies, plans and programmes",0,0,0,United Republic of Tanzania,1
3471,MITIGATION,Agriculture,Livestock management,UNDEFINED,0,Get international collaboration to improve livestock efficiency.,0,0,0,0,Vanuatu,1
3472,MITIGATION,Agriculture,Livestock management,PASTURE MANAGEMENT,0,Converting pastures into silvopastural livestock systems,0,0,0,0,Vanuatu,1
3473,MITIGATION,Transport,Inland water & maritime,UNDEFINED,0,10% improvement in energy efficiency for marine transport,0,0,0,0,Vanuatu,1
3474,MITIGATION,Transport,Land transport,UNDEFINED,0,10% improvement in energy efficiency for land transport,0,0,0,0,Vanuatu,1
